UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Process temperature [K]_roll_mean,Rotational speed [rpm]_roll_mean,Torque [Nm]_roll_mean,Tool wear [min]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_std,Tool wear [min]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_var,Tool wear [min]_roll_var,Air temperature [K]_lag1,Process temperature [K]_lag1,Rotational speed [rpm]_lag1,Torque [Nm]_lag1,Tool wear [min]_lag1,Air temperature [K]_lag2,Process temperature [K]_lag2,Rotational speed [rpm]_lag2,Torque [Nm]_lag2,Tool wear [min]_lag2
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,309.22,1514.2,41.58,47.0,0.1286683937710541,0.0632455532044769,232.72864504014603,10.835722813402386,9.439868172337546,0.016555555555623,0.0040000000001403,54162.622222222286,117.41288888888892,89.11111111111138,298.9,309.3,1375.0,42.7,58.0,298.9,309.3,1632.0,32.5,55.0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,309.23999999999995,1538.4,39.540000000000006,50.1,0.134989711542383,0.0516397779508376,224.9381149462128,10.764365079072505,9.780365819106969,0.0182222222222957,0.0026666666668118,50597.155555555626,115.87155555555562,95.65555555555588,298.8,309.3,1450.0,44.8,63.0,298.9,309.3,1375.0,42.7,58.0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,309.26,1540.0,39.11,53.2,0.1475729574748138,0.0699205898790666,226.59802882343604,11.262173660335542,10.07527225990005,0.0217777777778632,0.0048888888890366,51346.66666666674,126.83655555555563,101.51111111111148,298.9,309.3,1581.0,30.7,65.0,298.8,309.3,1450.0,44.8,63.0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,309.28000000000003,1492.6,40.88,56.2,0.1475729574748583,0.078881063775613,147.2218280917158,9.023647944275211,10.174041041351831,0.0217777777778763,0.0062222222223723,21674.26666666672,81.4262222222223,103.5111111111115,299.0,309.4,1758.0,25.7,68.0,298.9,309.3,1581.0,30.7,65.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,309.31,1524.5,38.37,59.3,0.1349897115425169,0.0994428926019631,188.02201407754845,10.123355833582728,10.08904796741939,0.0182222222223319,0.0098888888890455,35352.27777777783,102.48233333333349,101.78888888888932,299.0,309.4,1561.0,37.3,70.0,299.0,309.4,1758.0,25.7,68.0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.91,309.34000000000003,1544.6,37.61,62.4,0.1197218999742952,0.1074967699780809,172.78901714068664,9.713844644515266,9.61711437432712,0.0143333333334551,0.0115555555557204,29856.0444444445,94.35877777777792,92.48888888888932,299.0,309.5,1861.0,23.3,73.0,299.0,309.4,1561.0,37.3,70.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,309.36,1584.7,35.51,65.4,0.1080123449740662,0.0966091783088141,184.23297448852352,10.058434824122056,8.934328302800532,0.0116666666667966,0.0093333333335042,33941.78888888896,101.1721111111113,79.82222222222263,299.1,309.5,1512.0,39.0,75.0,299.0,309.5,1861.0,23.3,73.0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,309.38,1598.0,34.480000000000004,68.6,0.103279555899524,0.0788810637757825,165.75148734040255,8.265295585223274,8.52708104283708,0.0106666666668029,0.006222222222399,27473.555555555628,68.31511111111134,72.7111111111115,299.1,309.4,1811.0,24.6,77.0,299.1,309.5,1512.0,39.0,75.0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,309.39,1604.1,34.239999999999995,71.5,0.0994428926018697,0.0737864787384804,168.24548863028843,8.363438952435258,8.316649966583121,0.009888888889027,0.0054444444446242,28306.54444444452,69.94711111111135,69.16666666666703,299.1,309.4,1439.0,44.2,82.0,299.1,309.4,1811.0,24.6,77.0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,309.41,1600.5,34.79,74.3,0.0994428926018938,0.0737864787385211,173.97972423372937,9.127546828754774,7.97287066662109,0.0098888888890318,0.0054444444446302,30268.94444444452,83.31211111111134,63.56666666666703,299.0,309.4,1693.0,30.1,84.0,299.1,309.4,1439.0,44.2,82.0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,309.42,1635.3,32.86,76.9,0.0674948557721591,0.063245553204866,175.3301964231429,8.810751008474455,8.116512661098863,0.0045555555557045,0.0040000000001895,30740.677777777877,77.6293333333336,65.87777777777814,299.1,309.5,1339.0,48.2,86.0,299.0,309.4,1693.0,30.1,84.0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,309.43,1619.1,34.62,79.5,0.0516397779508961,0.0483045891559663,187.93583420353303,10.007863574876186,8.045012257431468,0.0026666666668178,0.0023333333335267,35319.87777777786,100.15733333333355,64.72222222222257,299.0,309.4,1798.0,25.5,89.0,299.1,309.5,1339.0,48.2,86.0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,309.42,1609.8,35.3,82.0,0.0674948557721482,0.063245553204866,182.52171864678968,9.555219632338256,7.958224257542237,0.004555555555703,0.0040000000001895,33314.177777777855,91.30222222222244,63.33333333333368,299.0,309.4,1419.0,48.3,91.0,299.0,309.4,1798.0,25.5,89.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,309.39,1609.6,35.04,84.5,0.0994428926018743,0.1197218999745316,182.58221892250828,9.530092689300922,7.691987172809575,0.0098888888890279,0.0143333333335117,33336.26666666674,90.82266666666688,59.16666666666704,298.9,309.3,1665.0,32.5,93.0,299.0,309.4,1419.0,48.3,91.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,309.36,1568.7,37.57000000000001,87.0,0.1197218999743262,0.1264911064074048,164.9693911002888,9.424795901120508,7.601169500660944,0.0143333333334625,0.0160000000001694,27214.90000000004,88.8267777777779,57.77777777777816,298.8,309.1,1559.0,34.7,95.0,298.9,309.3,1665.0,32.5,93.0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,309.33,1575.6,37.34,89.6,0.1159501808733556,0.1251665557040909,163.77301364999073,9.414079290556726,7.486283753935917,0.0134444444445638,0.0156666666668253,26821.60000000005,88.62488888888903,56.04444444444485,298.8,309.2,1452.0,48.6,98.0,298.8,309.1,1559.0,34.7,95.0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,309.3,1538.4,38.8,92.3,0.1173787790781782,0.1414213562378272,145.60311351982378,8.282914140969154,7.3037281195595485,0.0137777777778837,0.0200000000001464,21200.26666666669,68.60666666666678,53.34444444444486,298.9,309.2,1581.0,36.7,101.0,298.8,309.2,1452.0,48.6,98.0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.92,309.28000000000003,1532.4,39.45,94.7,0.1032795558993386,0.1398411797565225,151.27987308297168,8.979513721057883,7.484057129065192,0.0106666666667646,0.019555555555696,22885.600000000017,80.63166666666679,56.01111111111153,298.8,309.1,1439.0,39.2,104.0,298.9,309.2,1581.0,36.7,101.0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,309.25,1498.1,41.690000000000005,97.4,0.1054092553393766,0.143372087784505,149.6970644705871,9.1796211492874,8.044321668799151,0.0111111111112018,0.0205555555556878,22409.2111111111,84.26544444444451,64.71111111111155,298.9,309.2,1379.0,50.7,106.0,298.8,309.1,1439.0,39.2,104.0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,309.21,1500.4,41.41,100.1,0.0823272602353459,0.1197218999742994,147.13576497008918,8.99993209850929,8.319321553534976,0.0067777777778583,0.0143333333334561,21648.933333333327,80.99877777777785,69.2111111111116,298.8,309.1,1350.0,52.5,111.0,298.9,309.2,1379.0,50.7,106.0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,309.18,1457.4,43.940000000000005,102.7,0.0707106781191911,0.1032795558994395,108.17393401369834,7.453738808290925,8.525126261691279,0.0050000000000758,0.0106666666667854,11701.599999999962,55.55822222222222,72.67777777777832,298.8,309.1,1362.0,45.4,113.0,298.8,309.1,1350.0,52.5,111.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,309.15,1452.3,44.02,105.3,0.0483045891547131,0.0707106781194806,111.34136697562124,7.509815798895026,8.525126261691282,0.0023333333334056,0.0050000000001167,12396.89999999996,56.397333333333336,72.67777777777839,298.8,309.1,1368.0,50.8,115.0,298.8,309.1,1362.0,45.4,113.0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,309.14,1423.0,45.62,108.0,0.0421637021364202,0.0516397779505538,84.45511628472609,6.40603881765739,8.472176684759267,0.0017777777778487,0.0026666666667825,7132.666666666606,41.0373333333333,71.77777777777852,298.8,309.1,1368.0,49.1,117.0,298.8,309.1,1368.0,50.8,115.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,309.14000000000004,1414.3,46.9,111.0,0.0421637021364202,0.0516397779505538,72.52746606171529,5.134199061197369,8.666666666666721,0.0017777777778487,0.0026666666667825,5260.233333333264,26.359999999999943,75.11111111111205,298.8,309.2,1372.0,48.5,120.0,298.8,309.1,1368.0,49.1,117.0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,309.13,1418.0,46.95,114.0,0.0421637021364202,0.0483045891551618,75.54542415733096,5.154986798129442,8.856886837057678,0.0017777777778487,0.0023333333334489,5707.111111111043,26.573888888888835,78.44444444444557,298.8,309.1,1472.0,47.5,125.0,298.8,309.2,1372.0,48.5,120.0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,309.11,1444.2,45.86,116.9,0.0471404520798235,0.0567646212207733,148.53192698316843,7.955040330926463,8.875058685252057,0.0022222222222901,0.0032222222223378,22061.733333333275,63.2826666666666,78.76666666666796,298.8,309.1,1489.0,49.1,128.0,298.8,309.1,1472.0,47.5,125.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,309.11,1442.1,46.57000000000001,119.8,0.0471404520798235,0.0567646212207733,148.76189028107953,7.603661398738545,8.929352346801796,0.0022222222222901,0.0032222222223378,22130.09999999994,57.8156666666666,79.73333333333474,298.7,309.0,1843.0,25.8,130.0,298.8,309.1,1489.0,49.1,128.0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,309.11,1446.7,46.89,122.7,0.0316227766027308,0.0567646212207733,147.29792183794623,7.85980633066461,8.65447860936761,0.0010000000000662,0.0032222222223378,21696.67777777772,61.77655555555548,74.90000000000151,298.8,309.1,1418.0,46.3,133.0,298.7,309.0,1843.0,25.8,130.0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,309.12,1452.9,46.05,125.6,0.0471404520798235,0.0632455532042776,144.04432188276846,7.639408063165331,9.143303560530054,0.0022222222222901,0.0040000000001151,20748.76666666661,58.36055555555548,83.60000000000157,298.8,309.2,1425.0,53.9,135.0,298.8,309.1,1418.0,46.3,133.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,309.12,1602.8,41.97,128.6,0.0567646212203686,0.0632455532042776,463.8631982240741,15.18940054409287,9.46572765295947,0.0032222222222919,0.0040000000001151,215169.06666666665,230.71788888888875,89.6000000000016,298.9,309.2,1412.0,44.1,140.0,298.8,309.2,1425.0,53.9,135.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,309.12,1604.3,42.38,131.6,0.0632455532039378,0.0632455532042776,463.04308654810944,15.506256801691372,9.430447143870484,0.0040000000000721,0.0040000000001151,214408.9,240.4439999999999,88.93333333333494,298.9,309.1,2861.0,4.6,143.0,298.9,309.2,1412.0,44.1,140.0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,309.11,1617.2,41.85,134.6,0.0632455532039378,0.073786478738043,457.4921492951181,15.340740964286349,9.033271832509062,0.0040000000000721,0.0054444444445596,209299.06666666665,235.33833333333325,81.60000000000161,298.9,309.1,1383.0,54.9,145.0,298.9,309.1,2861.0,4.6,143.0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,309.09000000000003,1636.5,40.510000000000005,137.8,0.0737864787377355,0.0737864787380511,450.0084567106613,15.280448655426026,8.954204474869856,0.0054444444445142,0.0054444444445608,202507.6111111111,233.49211111111103,80.17777777777935,298.8,309.0,1497.0,43.8,147.0,298.9,309.1,1383.0,54.9,145.0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,309.08000000000004,1658.4,38.77,140.7,0.0816496580931817,0.0788810637754029,446.42809549180976,15.386361204362489,9.043720964784928,0.0066666666667334,0.0062222222223391,199298.0444444444,236.74011111111105,81.78888888889041,298.7,309.0,1565.0,35.1,152.0,298.8,309.0,1497.0,43.8,147.0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,309.08000000000004,1660.7,37.93,143.5,0.0816496580931817,0.0788810637754029,445.51669129475073,14.983772703976936,9.009254501159797,0.0066666666667334,0.0062222222223391,198485.1222222222,224.5134444444444,81.16666666666802,298.7,309.0,1691.0,30.1,154.0,298.7,309.0,1565.0,35.1,152.0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,309.09000000000003,1624.1,39.59,146.3,0.0737864787377355,0.0737864787380468,443.90726008430585,14.398722937199052,8.692908987598333,0.0054444444445142,0.0054444444445602,197053.6555555556,207.3232222222221,75.56666666666787,298.8,309.1,1512.0,40.7,156.0,298.7,309.0,1691.0,30.1,154.0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,309.09000000000003,1633.6,38.99,149.0,0.0737864787377355,0.0737864787380468,440.0058585468557,14.211845606941958,8.286535263104101,0.0054444444445142,0.0054444444445602,193605.1555555556,201.97655555555545,68.66666666666775,298.8,309.1,1477.0,42.4,158.0,298.8,309.1,1512.0,40.7,156.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,309.07000000000005,1657.2,36.55,151.7,0.0737864787377355,0.0674948557719486,433.86039741424247,13.441250768519357,7.587270040447191,0.0054444444445142,0.0045555555556761,188234.84444444443,180.66722222222216,57.56666666666753,298.8,309.1,1513.0,40.3,160.0,298.8,309.1,1477.0,42.4,158.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,309.06,1653.8,37.58,154.2,0.0666666666671771,0.051639777950626,436.1227655909132,14.44151423270196,7.420691791650375,0.0044444444445125,0.0026666666667899,190203.06666666665,208.55733333333328,55.06666666666726,298.8,309.0,1661.0,29.5,162.0,298.8,309.1,1513.0,40.3,160.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,309.06000000000006,1507.0,42.38,156.6,0.0567646212203392,0.051639777950626,109.04127658827277,9.336523264399151,7.2755297630711215,0.0032222222222885,0.0026666666667899,11890.0000000002,87.17066666666659,52.933333333333735,298.8,309.1,1378.0,54.4,165.0,298.8,309.0,1661.0,29.5,162.0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,309.05,1527.9,40.71,159.0,0.0421637021363462,0.0527046276706597,102.46457382378097,8.282303758952304,6.97614984548547,0.0017777777778425,0.0027777777779028,10498.98888888906,68.59655555555548,48.66666666666694,298.8,309.1,1393.0,52.6,167.0,298.8,309.1,1378.0,54.4,165.0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,309.05,1561.1,38.620000000000005,161.5,0.0421637021363462,0.0527046276706597,138.71429470518055,9.895767894520477,6.670832032063175,0.0017777777778425,0.0027777777779028,19241.655555555684,97.92622222222218,44.50000000000011,298.8,309.0,1592.0,38.2,169.0,298.8,309.1,1393.0,52.6,167.0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.80000000000007,309.05,1585.8,37.7,163.7,0.0471404520798278,0.0527046276706597,159.86438697290373,10.657704568370557,6.815831244650609,0.0022222222222905,0.0027777777779028,25556.622222222315,113.58666666666664,46.45555555555547,298.8,309.0,1829.0,22.9,172.0,298.8,309.0,1592.0,38.2,169.0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.83000000000004,309.06000000000006,1569.0,38.55,166.0,0.0674948557716008,0.051639777950626,156.36993175017912,10.31775707753924,7.055336829505552,0.0045555555556292,0.0026666666667899,24451.555555555675,106.45611111111108,49.77777777777745,298.9,309.0,1812.0,25.9,174.0,298.8,309.0,1829.0,22.9,172.0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.85,309.06,1557.2,38.99,168.3,0.0849836585603339,0.051639777950626,165.34395127195418,10.511628481511954,7.180993431738121,0.0072222222222994,0.0026666666667899,27338.62222222236,110.49433333333327,51.56666666666604,299.0,309.1,1523.0,38.6,177.0,298.9,309.0,1812.0,25.9,174.0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.86,309.04,1577.4,37.62,170.6,0.0843274042716271,0.0699205898789237,166.7900876351273,10.90329206147289,7.1987653262362485,0.0071111111111904,0.0048888888890166,27818.93333333344,118.88177777777774,51.822222222221285,299.0,309.1,1394.0,45.1,179.0,299.0,309.1,1523.0,38.6,177.0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.86,309.02,1572.7,38.0,173.0,0.0843274042716271,0.0788810637754965,169.44750088318114,11.071986673081252,7.2724747430903935,0.0071111111111904,0.0062222222223539,28712.45555555567,122.58888888888886,52.88888888888769,298.9,308.9,1679.0,28.7,181.0,299.0,309.1,1394.0,45.1,179.0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.86,309.01,1559.3,38.29,175.7,0.0843274042716271,0.0875595035778612,166.96909228290698,10.860576002731673,7.73232752079782,0.0071111111111904,0.0076666666668014,27878.67777777791,117.95211111111108,59.78888888888736,298.8,308.9,1466.0,44.1,184.0,298.9,308.9,1679.0,28.7,181.0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.87,309.0,1562.5,39.42,178.3,0.0823272602353516,0.0816496580936093,163.37635487834052,13.083390658048511,8.097324661063361,0.0067777777778593,0.0066666666668033,26691.833333333463,171.17511111111108,65.56666666666487,298.8,308.9,1527.0,32.4,189.0,298.8,308.9,1466.0,44.1,184.0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.88,308.98999999999995,1615.6,36.42,180.9,0.0788810637751928,0.0737864787382,186.78044151712828,13.164666514744855,8.23879710745299,0.006222222222306,0.0054444444445828,34886.93333333338,173.3084444444445,67.87777777777576,298.9,309.0,1410.0,65.7,191.0,298.8,308.9,1527.0,32.4,189.0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.89,309.0,1601.6,37.15,183.6,0.07378647873785,0.0816496580936015,193.8585968059081,13.473121390383152,8.329332372872125,0.0054444444445312,0.006666666666802,37581.155555555626,181.52500000000003,69.37777777777559,298.9,309.0,1924.0,22.6,193.0,298.9,309.0,1410.0,65.7,191.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.9,309.01,1555.6,39.3,186.2,0.0666666666673399,0.087559503577847,188.4033498168819,12.635927614016577,8.363943780033033,0.0044444444445342,0.007666666666799,35495.82222222237,159.66666666666666,69.95555555555325,298.9,309.1,1452.0,45.5,196.0,298.9,309.0,1924.0,22.6,193.0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.91,309.02000000000004,1533.6,40.21,188.8,0.0737864787378907,0.0918936583479715,166.73545247220608,11.868019585798166,8.18942407417422,0.0054444444445372,0.0084444444445737,27800.711111111294,140.84988888888887,67.06666666666428,298.9,309.1,1369.0,44.4,198.0,298.9,309.1,1452.0,45.5,196.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.9,309.01,1541.4,39.58,191.3,0.0666666666673399,0.087559503577847,168.0041004790596,12.127361167578414,8.000694414306091,0.0044444444445342,0.007666666666799,28225.377777777947,147.07288888888888,64.01111111110868,299.0,309.1,1592.0,35.0,200.0,298.9,309.1,1369.0,44.4,198.0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.88,308.99,1539.9,39.74,193.8,0.0632455532040301,0.0875595035778846,169.52643189518054,12.218492360170936,7.627435858647077,0.0040000000000838,0.0076666666668055,28739.211111111283,149.29155555555553,58.17777777777527,298.9,309.0,1601.0,32.3,202.0,299.0,309.1,1592.0,35.0,200.0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.87,308.98999999999995,1518.1,41.66,196.3,0.0674948557716549,0.0875595035778846,163.56340938268897,11.79201236242379,7.040359839288337,0.0045555555556365,0.0076666666668055,26752.988888889096,139.0515555555555,49.566666666664105,298.8,308.9,1379.0,46.7,204.0,298.9,309.0,1601.0,32.3,202.0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.87,308.99,1517.0,41.38,198.7,0.0674948557716549,0.0875595035778846,163.9891595333199,11.760838972340933,6.4472216238209175,0.0045555555556365,0.0076666666668055,26892.444444444656,138.3173333333333,41.56666666666403,298.8,308.9,1461.0,47.9,206.0,298.8,308.9,1379.0,46.7,204.0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.87,308.99,1504.1,43.290000000000006,179.8,0.0674948557716549,0.0875595035778846,168.1364855638954,11.691160003276924,63.41188111597593,0.0045555555556365,0.0076666666668055,28269.87777777801,136.68322222222213,4021.066666666665,298.8,308.9,1455.0,41.3,208.0,298.8,308.9,1461.0,47.9,206.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.86,308.98,1503.3,40.510000000000005,160.9,0.0699205898785731,0.091893658348043,168.6522062312465,8.690409784482096,84.39648491890325,0.0048888888889676,0.0084444444445868,28443.566666666906,75.52322222222216,7122.7666666666655,298.8,308.9,1398.0,51.5,0.0,298.8,308.9,1455.0,41.3,208.0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.85,308.96,1455.4,43.24,142.0,0.0707106781191965,0.1074967699780039,81.28031058558538,6.434145026514566,96.67816023625328,0.0050000000000766,0.0115555555557038,6606.488888889224,41.39822222222213,9346.666666666664,298.8,308.9,1402.0,37.9,2.0,298.8,308.9,1398.0,51.5,0.0
